"time","text","replies","retweets","likes","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
2018-05-21," will   well  constructive feedback  necessary  promise

 fact    vehicle  just  kind  thingmy weekly",11,7,169,0,0,0,0,2,0,0,3,0,2
2018-05-21,"  meaning  get around  talking      criticisms  valid    higher bodychassis weight front  wasnt fully appreciating    going  much higher crash safety levels   cars",18,35,685,0,1,1,2,1,2,2,2,2,2
2018-05-21," ",13,45,89,0,0,0,0,0,0,0,0,0,0
2018-05-21,"got  

one gripe 
yea thanks",5,0,30,0,0,0,0,0,0,0,0,0,0
2018-05-21,"",12,11,72,0,0,0,0,0,0,0,0,0,0
2018-05-21,"hey",1,5,9,0,0,0,0,0,0,0,0,0,0
2018-05-21,"",0,10,17,0,0,0,0,0,0,0,0,0,0
2018-05-21,"   admitting   wrong   caution tape  forklifts getting  basic facts wrong suggests",0,1,16,1,1,0,1,0,0,0,1,2,1
2018-05-21," exciting time   joining",1,0,34,0,2,0,0,1,0,1,0,0,1
2017-10-02,"thank u",4,61,196,0,0,0,0,0,0,0,0,0,0
2018-05-22,"",0,7,11,0,0,0,0,0,0,0,0,0,0
2018-05-22," will lay ",2,11,86,0,0,0,0,0,0,0,0,0,0
2018-05-22,"   great",0,3,94,0,0,0,0,0,0,0,0,0,0
2018-05-22,"dominic monaghan   ceified",2,2,26,0,0,0,0,0,0,0,0,0,0
2018-05-22,"good morning",2,18,26,0,1,0,0,1,0,1,1,0,1
2018-05-22,"cmon  going  include  fun games  hidden easter eggs  tesla s x3    think    fun   car using  center touch screen",5,8,21,0,1,0,0,1,0,0,1,1,3
2018-05-22,"quand",0,12,49,0,0,0,0,0,0,0,0,0,0
2018-05-22,"hey",1,2,11,0,0,0,0,0,0,0,0,0,0
2018-05-22,"2 player pong  space invader",16,23,853,1,0,0,1,0,1,0,0,2,0
2018-05-23,"dear 

hire   work  

thx
brad",7,28,116,0,1,0,0,1,0,0,1,0,2
2017-10-03," going 100 electric ",1,10,12,0,0,0,0,1,0,1,0,0,1
2018-05-23," didnt read  review    worst argument",2,3,64,1,0,0,0,0,0,0,0,1,0
2018-05-23,"maybe   get  model 3  can talk    likewhat needs   improved",50,38,1900,0,0,0,0,0,0,0,0,0,3
2018-05-23,"excellent timing   tweet im putting together  show notes   weeks episode  ",6,9,599,0,0,0,0,1,0,0,2,0,1
