"time,text,replies,retweets,likes"
"2017-01-19,""US traffic agency says 'no defect' at time of Tesla's fatal crash, Musk says report 'very positive' http://cnb.cx/2jcRI6b "",1,8,8"
"2017-01-19,""US traffic agency says 'no defect' at time of Tesla's fatal crash, Musk says report 'very positive' http://cnb.cx/2jd4x0p "",0,3,2"
"2017-01-19,Panasonic aims to move Tesla auto partnership beyond batteries: CEO http://cnb.cx/2je9GFJ ,0,6,10"
"2017-01-19,US closing Tesla autopilot death investigation without demanding recall: Report http://cnb.cx/2jCEtPM ,0,7,9"
"2017-01-19,Cramer blames Amazon for the success of Tesla & Netflix http://cnb.cx/2jdJ9bh ,0,6,8"
"2017-01-19,.@JimCramer blames Amazon for the success of Tesla & Netflix http://cnb.cx/2jRIEEF ,0,3,7"
"2017-01-24,Elon Musk thinks Rex Tillerson could be an excellent secretary of State http://cnb.cx/2juvL2S ,5,33,62"
"2017-01-24,Silicon Valley could have a surprising winner under Trump: Elon Musk http://cnb.cx/2j2fO7K ,2,22,21"
"2017-01-25,Elon Musk says he is serious about tunneling under Los Angeles http://cnb.cx/2ktaOoX ,4,13,32"
"2017-01-25,Elon Musk moves forward on plan to build underground tunnels for cars http://cnb.cx/2kjkovw ,7,36,45"
"2017-01-26,Tesla sues former Autopilot executive for taking company secrets and poaching coworkers http://cnb.cx/2jWl3mz ,0,21,21"
"2017-01-26,Elon Musk explains why he supports Rex Tillerson http://cnb.cx/2kxdUbJ ,2,19,16"
"2017-01-26,""Mark Zuckerberg, Larry Page and Elon Musk play video games. Should you? http://cnb.cx/2julYfs "",3,14,15"
"2017-01-27,""Trump forms manufacturing council including Musk, CEOs of Ford, GE http://cnb.cx/2jx8aRi "",5,20,24"
"2017-01-30,Elon Musk polls Twitter for a way to improve Trump's travel ban and gets an earful http://cnb.cx/2kKIWB8 ,7,22,18"
"2017-01-31,Tesla fans say they are cancelling Model 3 orders over Musk's Trump connection http://cnb.cx/2kMFXEW ,29,40,46"
"2017-01-31,Elon Musk thinks we will have to use AI this way to avoid a catastrophic future http://cnb.cx/2koqQnv ,5,14,24"
"2017-02-01,""JUST IN: Tesla Motors changes name to Tesla, Inc. • $TSLA"",10,74,73"
"2017-02-01,""Tesla Motors is now, officially, just Tesla http://cnb.cx/2kRDQQ0 "",0,12,13"
