"year" "month" "day" "dailyLikes" "dailyReplies" "dailyRetweets"
"140" "2018" "05" "21" 153300 4901 10274
"141" "2018" "05" "22" 109200 15995 13365
"142" "2018" "05" "23" 722000 37105 131300
"143" "2018" "05" "24" 76000 2547 5683
"144" "2018" "05" "25" 111700 8044 11363
"145" "2018" "05" "26" 292300 7831 36001
"146" "2018" "05" "28" 9900 228 591
"147" "2018" "05" "29" 104300 2570 8931
"148" "2018" "05" "30" 226100 3417 32306
"149" "2018" "05" "31" 144100 2920 16206
"150" "2018" "06" "01" 55900 690 3747
"151" "2018" "06" "02" 71000 2714 8400
"152" "2018" "06" "03" 29000 487 3300
"153" "2018" "06" "04" 25000 854 2900
"154" "2018" "06" "05" 66600 1414 9241
"155" "2018" "06" "06" 16000 307 2300
"156" "2018" "06" "07" 118000 2916 14600
"157" "2018" "06" "09" 481000 10453 63109
"158" "2018" "06" "12" 84000 2177 14100
"159" "2018" "06" "13" 23000 503 4400
"160" "2018" "06" "14" 27000 596 3900
"161" "2018" "06" "15" 447600 13769 90696
"162" "2018" "06" "16" 270000 10845 31900
"163" "2018" "06" "17" 45400 2663 7014
"164" "2018" "06" "18" 32200 2001 2242
"165" "2018" "06" "19" 28400 544 1985
"166" "2018" "06" "20" 149500 3800 19068
"167" "2018" "06" "21" 18000 296 2200
"168" "2018" "06" "22" 82500 2933 7270
"169" "2018" "06" "23" 151700 3996 12741
"170" "2018" "06" "24" 155300 4471 20154
"171" "2018" "06" "25" 33100 737 3637
"172" "2018" "06" "26" 164000 32375 16173
"173" "2018" "06" "28" 78900 4133 4653
"174" "2018" "06" "29" 306000 8961 47295
"175" "2018" "07" "01" 151000 5200 14000
"176" "2018" "07" "03" 42000 1447 4900
"177" "2018" "07" "04" 10400 175 1439
"178" "2018" "07" "05" 52200 2339 7610
"179" "2018" "07" "06" 27000 396 5300
"180" "2018" "07" "07" 365000 6732 56300
"181" "2018" "07" "08" 365000 7721 81987
"182" "2018" "07" "09" 315000 8427 85300
"183" "2018" "07" "10" 112000 2420 23400
"184" "2018" "07" "11" 76000 1959 5834
"185" "2018" "07" "12" 169300 5242 15655
"186" "2018" "07" "13" 47900 2710 3277
"187" "2018" "07" "14" 162400 9407 14939
"188" "2018" "07" "16" 24600 674 2891
"189" "2018" "07" "17" 30900 956 7624
"190" "2018" "07" "18" 21000 1200 1800
"191" "2018" "07" "19" 20400 719 1966
"192" "2018" "07" "20" 46900 1633 4712
"193" "2018" "07" "21" 12000 272 1600
"194" "2018" "07" "22" 21700 810 2308
"195" "2018" "07" "23" 13000 367 1500
"196" "2018" "07" "24" 14000 819 1500
"197" "2018" "07" "25" 48400 1499 12552
"198" "2018" "07" "26" 24000 875 3000
"199" "2018" "07" "27" 32000 508 3986
"200" "2018" "07" "29" 177000 11100 23158
"201" "2018" "07" "31" 40000 1558 3200
"202" "2018" "08" "01" 156300 7936 21418
"203" "2018" "08" "02" 22900 496 3371
"204" "2018" "08" "03" 8000 156 1000
"205" "2018" "08" "04" 50000 1170 4478
"206" "2018" "08" "05" 58800 2891 6610
"207" "2018" "08" "06" 18600 457 3917
"208" "2018" "08" "07" 203100 15285 26824
"209" "2018" "08" "08" 18400 913 1943
"210" "2018" "08" "09" 6500 301 707
"211" "2018" "08" "10" 253900 8039 36300
"212" "2018" "08" "11" 25000 751 3700
"213" "2018" "08" "12" 32000 960 3300
"214" "2018" "08" "13" 26000 400 3741
"215" "2018" "08" "14" 7200 174 636
"216" "2018" "08" "15" 154400 5011 20832
"217" "2018" "08" "17" 83000 1500 6000
"218" "2018" "08" "18" 21000 774 1200
"219" "2018" "08" "20" 28000 523 3700
"220" "2018" "08" "21" 65700 3457 5913
"221" "2018" "08" "23" 113000 3978 15700
"222" "2018" "08" "24" 75000 2416 9800
"223" "2018" "08" "25" 134000 4200 14500
"224" "2018" "08" "30" 36700 1263 3100
"225" "2018" "08" "31" 29000 430 5500
"226" "2018" "09" "05" 129400 4440 21200
"227" "2018" "09" "07" 119000 5500 15400
"228" "2018" "09" "08" 146700 3881 14866
"229" "2018" "09" "09" 55000 1421 8600
"230" "2018" "09" "10" 33200 1752 2062
"231" "2018" "09" "11" 15000 215 4000
"232" "2018" "09" "12" 33000 1500 1800
"233" "2018" "09" "13" 226500 6024 41371
"234" "2018" "09" "14" 11000 275 1500
"235" "2018" "09" "15" 20000 1300 2500
"236" "2018" "09" "16" 310000 7057 38301
"237" "2018" "09" "17" 239600 5619 30844
"238" "2018" "09" "18" 272300 7831 33965
"239" "2018" "09" "19" 54000 1806 5900
"240" "2018" "09" "20" 51200 1330 5118
"241" "2018" "09" "21" 347000 8044 52400
