time,minute_time,text,replies,retweets,likes,Date,Open,Close,Volume,Date.1
2018-05-23,2018-05-23 15:21:00,"Even if some of the public doesn’t care about the credibility score, the journalists, editors & publications will. It is how they define themselves.",1600,4700,49000,2018-05-23 15:21:00,276.96,276.65,10571,5/23/18 15:21
2018-05-30,2018-05-30 12:15:00,Consumer Reports tested the @Tesla Model 3 and found an issue with brakes. @elonmusk quickly responded. Our car has been updated and retested. Here are the results: http://ms.spr.ly/6019rNBmD pic.twitter.com/V6DmTRbN2C,103,562,4000,2018-05-30 12:15:00,288.212,288.8,48472,5/30/18 12:15
